S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
34.0,Is Bluetooth Working Properly? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q34.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
35.0,Is USB Port Working Properly?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q35.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,Air Condition System Check,,,,,,,,,,,,,,,,,,
45.0,Please take a photo of the front AC vents on the driver’s side,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q45.mp3,Yes,No,No,,Yes,Front AC Vents Working Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q45_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Ac Vents Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q45_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
46.0,Please take a photo of the front AC vents on the passenger’s side,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q46.mp3,Yes,No,No,,Yes,Front AC Vents Passenger Side Working Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q46_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Ac Vents Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q46_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
47.0,Please take a photo of the front middle AC vents,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q47.mp3,Yes,No,No,,Yes,Front AC Vents Middle Working Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q47_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Ac Vents Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q47_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
48.0,Please Click Rear AC Vents Photo ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q48.mp3,Yes,No,No,,Yes,Rear AC Vents Working Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q48_SQ1.mp3,Yes,"Working , Not Working , Not Applicable",Yes,Ac Vents Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q48_SQ2.mp3,Yes,"Good , Damaged ,Not Available ",Yes,No,Yes
49.0,Is Air Conditioning Working Properly?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q49.mp3,No,No,Yes,"Yes,No",Yes,AC Cooling Condition,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q49_SQ1.mp3,Yes,"Normal , No Cooling, Excellent",No,,,No,,No,No,Yes
50.0,Is Blower Fan Working Properly? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q50.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,Engine Health and Diagnosis,,,,,,,,,,,,,,,,,,
54.0,Please Open the Bonnet and take Engine Top Side Photo ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q54.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
56.0,Please take Engine Left Side view photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q56.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
57.0,Please take Engine Right Side View Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q57.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
59.0,Please take Video with Engine Start for 30 Sec,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q59.mp3,No,Yes,No,,No,,,No,,No,,,No,,No,Yes,Yes
60.0,Does the engine start with a single crank? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q60.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
62.0,Are there any sounds inside the Engine?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q62.mp3,No,No,Yes,"Knocking, Crackling, Humming, Metallic, Normal",No,,,No,,No,,,No,,No,No,Yes
63.0,Does the engine have back compression?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q63.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
64.0,Does the engine have any misfires? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q64.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
65.0,Is there any sound coming from Timing belt? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q65.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
66.0,Is there any noise coming from the Timing Case?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q66.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
67.0,Is there any sound coming from the Multi V Belt? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q67.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
